BenefitID,Outcome,ValueMeasurementUnit,BaselineTargetValue,CurrentTargetValue,ActualValue,Source,Owner,StartDate,OriginalEstimatedCompletionDate,CurrentEstimatedCompletionDate,MonitoringPlan,RAGStatus,ProjectSource,BenefitRecordedDate,Narrative,BenefitStage,Location
234,Non-Residential Area (Transport) - Ports and Harbours Better Protected,Number,0,2,1,Source_1,Meredith Abbott,14/09/2023,26/10/2023,19/11/2023,Weekly,R,Project_Foxtrot,21/06/2023,,Not Started,"35.81208799478919, -23.597107731191244"
235,Financial Damages (Lost Opportunity) Reduced,Pounds [Thousands] (£k),217,144,169,Source_3,Andrew Valentine,26/06/2023,30/12/2023,21/11/2023,Weekly,R,Project_Bravo,25/06/2023,,Not Started,"31.614820778293588, -27.092163173420435"
236,Non-Residential Area (Public Services) - Schools (Secondary) Enhanced,Number,3,2,1,Source_2,Rodney Moore PhD,11/04/2023,03/07/2023,13/06/2023,Weekly,A,Project_Alpha,22/06/2023,,In-Progress,"30.103918782011796, -28.02040400077738"
237,Heritage - Conservation Area Enhanced,Hectare (ha),4936,3600,4616,Source_1,Mckenzie Browning,29/09/2023,23/10/2023,03/12/2023,Fortnightly,R,Project_Delta,29/06/2023,,Not Started,"33.43198550770001, -25.35208700386169"
238,Non-Residential Area (Public Services) - Hospitals Created,Number,0,3,3,Source_1,Rodney Moore PhD,06/09/2023,07/11/2023,19/09/2023,Weekly,R,Project_Alpha,21/06/2023,,Not Started,"30.25961468912823, -28.925729006200456"
239,Heritage - Conservation Area Enhanced,Hectare (ha),4936,3600,4193,Source_1,Brittney Johnson,13/08/2023,23/10/2023,03/12/2023,Monthly,A,Project_Charlie,19/06/2023,,Not Started,"32.44960896566767, -26.38357596885682"
240,Non-Residential Area (Public Services) - Schools (Primary) Enhanced,Number,0,3,2,Source_1,Johnny Hernandez DDS,12/07/2023,09/08/2023,21/07/2023,Monthly,R,Project_Bravo,21/06/2023,,Not Started,"31.139226040351566, -27.051173944287893"
241,Non-Residential Area (Public Services) - Libraries Enhanced,Number,7,6,0,Source_2,Brandon Wood,09/03/2023,19/06/2023,09/07/2023,Weekly,A,Project_Golf,23/06/2023,,In-Progress,"36.46148105327914, -22.185515524059046"
242,Biodiversity - Coastal Better Protected,Hectare (ha),489,576,131,Source_3,Andrew Valentine,12/01/2023,26/08/2023,20/08/2023,Fortnightly,G,Project_Bravo,25/06/2023,,Completion,"31.95083902753684, -27.300484373401805"
243,Non-Residential Area (Public Services) - Fire Stations Created,Number,3,2,2,Source_2,Kenneth Shields,18/02/2023,24/07/2023,25/09/2023,Monthly,G,Project_Alpha,01/07/2023,,Completion,"30.817400223482178, -28.77288606320117"
244,Non-Residential Area (Commerce) - Shops Created,Number,215,144,133,Source_2,Rachel Smith,28/02/2023,16/03/2023,18/03/2023,Daily,G,Project_Charlie,19/06/2023,,Completion,"32.48431574933118, -26.69300801762586"
245,Financial Damages (Lost Opportunity) Reduced,Pounds [Thousands] (£k),217,144,10,Source_2,Kenneth Shields,17/01/2023,30/12/2023,21/11/2023,Weekly,G,Project_Alpha,23/06/2023,,In-Progress,"30.949426462886358, -28.74002243038307"
246,Heritage - Listed Building Better Protected,Number,0,1,1,Source_3,Juan Ramirez,20/03/2023,16/05/2023,05/05/2023,Fortnightly,G,Project_Hotel,23/06/2023,,Completion,"37.87265010030268, -21.801701631747743"
247,Non-Residential Area (Commerce) - Swimming Pools Better Protected,Number,5,3,1,Source_1,Lori Perez,17/02/2023,24/06/2023,07/07/2023,Quarterly,G,Project_Charlie,12/09/2023,,Completion,"32.71068303454407, -26.98686236549584"
248,Flood Risk (Coastal) Better Protected,Hectare (ha),370,288,10,Source_1,Tracey King,12/06/2023,05/12/2023,27/11/2023,Fortnightly,G,Project_Bravo,23/06/2023,,In-Progress,"31.421924157767858, -27.728020826015516"
249,Financial Damages (Lost Opportunity) Reduced,Pounds [Thousands] (£k),217,144,26,Source_1,Ana Jones,23/01/2023,30/12/2023,21/11/2023,Quarterly,G,Project_Golf,05/09/2023,,Completion,"36.14184785515539, -22.9292620770399"
250,Financial Damages (Environmental) Reduced,Pounds [Thousands] (£k),204,144,87,Source_1,Brandon Wood,16/01/2023,11/11/2023,21/10/2023,Fortnightly,G,Project_Golf,21/06/2023,,Completion,"36.02172677168562, -22.250982499407854"
